name_en,name_ar,industry_code,website,careers_url,careers_url_ar,linkedin_url,notes
Najran Cement,أسمنت نجران,cement,https://www.najrancement.com,https://najrancement.com/career,,,Cement TASI
Qassim Cement,أسمنت القصيم,cement,https://www.qassimcement.com,,,,Cement TASI
# --- Defense (international + Saudi Military Industries) -------------------
Saudi Arabian Military Industries (SAMI),الصناعات العسكرية السعودية سامي,manufacturing,https://www.sami.com.sa,,,https://www.linkedin.com/company/sami-defense/,PIF defense
Lockheed Martin Saudi Arabia,لوكهيد مارتن السعودية,manufacturing,https://www.lockheedmartin.com,https://www.lockheedmartinjobs.com/,,https://www.linkedin.com/company/lockheed-martin/,Defense multinational
BAE Systems Saudi Arabia,بي إيه إي السعودية,manufacturing,https://www.baesystems.com,https://www.baesystems.com/careers,,https://www.linkedin.com/company/bae-systems/,Defense multinational
Raytheon Saudi Arabia (RTX),رايثيون السعودية,manufacturing,https://www.rtx.com,https://careers.rtx.com/global/en,,https://www.linkedin.com/company/rtx/,Defense multinational
Boeing Saudi Arabia,بوينج السعودية,manufacturing,https://www.boeing.com,https://www.boeing.com/company/careers,,https://www.linkedin.com/company/boeing/,Aerospace multinational
Airbus Saudi Arabia,إيرباص السعودية,manufacturing,https://www.airbus.com,https://www.airbus.com/en/careers,,https://www.linkedin.com/company/airbus/,Aerospace multinational
# --- Auto + dealers -------------------------------------------------------
Lucid Motors KSA,لوسيد موتورز السعودية,automotive,https://www.lucidmotors.com,https://lucidmotors.com/careers,,https://www.linkedin.com/company/lucidmotors/,EV
Ceer Motors,سير موتورز,automotive,https://www.ceer.com,,,https://www.linkedin.com/company/ceer-motors/,EV
Abdul Latif Jameel (ALJ),عبد اللطيف جميل,automotive,https://www.alj.com,https://careers.alj.com/en/?locale=en_US,,https://www.linkedin.com/company/abdul-latif-jameel/,Toyota distributor + conglomerate
Mohamed Yousuf Naghi Motors,محمد يوسف ناغي للسيارات,automotive,https://www.naghimotors.com.sa,,,https://www.linkedin.com/company/mohamed-yousuf-naghi-motors/,BMW distributor
Saudi Automotive Services (SASCO),السعودية للخدمات السيارات,automotive,https://www.sasco.com.sa,https://www.sasco.com.sa/careers,,,TASI
ALDREES Petroleum and Transport Services,الدريس للبترول,oil_gas,https://www.aldrees.com,,,,TASI
# --- Tech multinationals operating in KSA ---------------------------------
Google Saudi Arabia,جوجل السعودية,tech_software,https://www.google.com,https://www.google.com/about/careers/applications,,https://www.linkedin.com/company/google/,Tech multinational
Microsoft Arabia,مايكروسوفت العربية,tech_software,https://www.microsoft.com/ar-sa,https://careers.microsoft.com/v2/global/en/home.html,,https://www.linkedin.com/company/microsoft/,Tech multinational
Amazon Saudi Arabia,أمازون السعودية,ecommerce,https://www.amazon.sa,,,https://www.linkedin.com/company/amazon/,E-commerce + cloud
AWS Middle East,أمازون ويب سيرفس,tech_software,https://aws.amazon.com,https://aws.amazon.com/careers,,https://www.linkedin.com/company/amazon-web-services/,Cloud
Meta Middle East,ميتا الشرق الأوسط,tech_software,https://about.meta.com,,,https://www.linkedin.com/company/meta/,Tech multinational
Apple Saudi Arabia,آبل السعودية,tech_software,https://www.apple.com/sa,https://www.apple.com/careers/sa,,https://www.linkedin.com/company/apple/,Tech multinational
Oracle Saudi Arabia,أوراكل السعودية,tech_software,https://www.oracle.com,,,https://www.linkedin.com/company/oracle/,Tech multinational
SAP Saudi Arabia,ساب السعودية,tech_software,https://www.sap.com,,,https://www.linkedin.com/company/sap/,ERP / cloud
Salesforce Saudi Arabia,سيلز فورس السعودية,tech_software,https://www.salesforce.com,https://www.salesforce.com/company/careers?bc=DB,,https://www.linkedin.com/company/salesforce/,CRM
IBM Saudi Arabia,آي بي إم السعودية,tech_software,https://www.ibm.com,https://www.ibm.com/careers,,https://www.linkedin.com/company/ibm/,Tech multinational
Cisco Saudi Arabia,سيسكو السعودية,tech_software,https://www.cisco.com,https://careers.cisco.com/global/en/home,,https://www.linkedin.com/company/cisco/,Networking
ServiceNow Saudi Arabia,سيرفس ناو السعودية,tech_software,https://www.servicenow.com,,,https://www.linkedin.com/company/servicenow/,IT ops
Dell Technologies Saudi Arabia,ديل السعودية,tech_software,https://www.dell.com,https://iawmqy.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/careers,,https://www.linkedin.com/company/delltechnologies/,Hardware
HP Saudi Arabia,إتش بي السعودية,tech_software,https://www.hp.com,,,https://www.linkedin.com/company/hp/,Hardware
Intel Saudi Arabia,إنتل السعودية,tech_software,https://www.intel.com,https://jobs.intel.com/,,https://www.linkedin.com/company/intel-corporation/,Chips
NVIDIA Saudi Arabia,إنفيديا السعودية,tech_software,https://www.nvidia.com,https://www.nvidia.com/en-us/about-nvidia/careers,,https://www.linkedin.com/company/nvidia/,GPU / AI
Adobe Saudi Arabia,أدوبي السعودية,tech_software,https://www.adobe.com,https://www.adobe.com/careers.html,,https://www.linkedin.com/company/adobe/,Software
Accenture Saudi Arabia,أكسنتشر السعودية,tech_software,https://www.accenture.com,https://www.accenture.com/sa-en/careers/jobsearch,,https://www.linkedin.com/company/accenture/,Tech consulting
Capgemini Saudi Arabia,كاب جيميني السعودية,tech_software,https://www.capgemini.com,,,https://www.linkedin.com/company/capgemini/,Tech consulting
Cognizant Saudi Arabia,كوغنيزانت السعودية,tech_software,https://www.cognizant.com,,,https://www.linkedin.com/company/cognizant/,Tech consulting
TCS Saudi Arabia,تي سي إس السعودية,tech_software,https://www.tcs.com,,,https://www.linkedin.com/company/tata-consultancy-services/,Tech consulting
Infosys Saudi Arabia,إنفوسيس السعودية,tech_software,https://www.infosys.com,,,https://www.linkedin.com/company/infosys/,Tech consulting
Wipro Saudi Arabia,ويبرو السعودية,tech_software,https://www.wipro.com,https://careers.wipro.com/,,https://www.linkedin.com/company/wipro/,Tech consulting
HCL Saudi Arabia,إتش سي إل السعودية,tech_software,https://www.hcltech.com,,,https://www.linkedin.com/company/hcltech/,Tech consulting
NTT Data Saudi Arabia,إن تي تي داتا السعودية,tech_software,https://www.nttdata.com,,,https://www.linkedin.com/company/ntt-data/,Tech consulting
DXC Technology Saudi Arabia,دي إكس سي السعودية,tech_software,https://www.dxc.com,https://careers.dxc.com/,,https://www.linkedin.com/company/dxctechnology/,Tech consulting
# --- Consulting (Big 4 + strategy) ----------------------------------------
PwC Middle East,بي دبليو سي,investment,https://www.pwc.com/m1,,,https://www.linkedin.com/company/pwc-middle-east/,Big 4
EY Middle East (Ernst & Young),إرنست ويونغ الشرق الأوسط,investment,https://www.ey.com/en_em,,,https://www.linkedin.com/company/ernstandyoung/,Big 4
Deloitte Middle East,ديلويت الشرق الأوسط,investment,https://www2.deloitte.com,https://www.deloitte.com/middle-east/en/careers.html?icid=bn_careers,,https://www.linkedin.com/company/deloitte/,Big 4
KPMG Middle East,كي بي إم جي,investment,https://kpmg.com/sa,https://slccareers.kpmg.com/,,https://www.linkedin.com/company/kpmg/,Big 4
McKinsey & Company Saudi Arabia,ماكنزي السعودية,investment,https://www.mckinsey.com,,,https://www.linkedin.com/company/mckinsey/,Strategy consulting
Boston Consulting Group (BCG) Saudi Arabia,بي سي جي السعودية,investment,https://www.bcg.com,https://careers.bcg.com/global/en,,https://www.linkedin.com/company/boston-consulting-group/,Strategy consulting
Bain & Company Saudi Arabia,بين السعودية,investment,https://www.bain.com,https://www.bain.com/careers/work-with-us,,https://www.linkedin.com/company/bain-and-company/,Strategy consulting
Roland Berger Saudi Arabia,رولاند برغر,investment,https://www.rolandberger.com,https://www.rolandberger.com/en/Join/,,https://www.linkedin.com/company/roland-berger/,Strategy consulting
Strategy& (PwC),استراتيجي آند,investment,https://www.strategyand.pwc.com,,,https://www.linkedin.com/company/strategyand/,Strategy consulting
Arthur D Little Saudi Arabia,آرثر دي ليتل,investment,https://www.adlittle.com,https://www.adlittle.com/en/careers/working-us/your-career,,https://www.linkedin.com/company/arthur-d-little/,Strategy consulting
Oliver Wyman Saudi Arabia,أوليفر وايمان السعودية,investment,https://www.oliverwyman.com,https://www.oliverwyman.com/careers.html,,https://www.linkedin.com/company/oliver-wyman/,Strategy consulting
# --- Oil services multinationals operating in KSA -------------------------
Schlumberger Saudi Arabia,شلمبرجير السعودية,oil_gas,https://www.slb.com,https://careers.slb.com/,,https://www.linkedin.com/company/slb/,Oil services
Halliburton Saudi Arabia,هاليبرتون السعودية,oil_gas,https://www.halliburton.com,https://careers.halliburton.com/,,https://www.linkedin.com/company/halliburton/,Oil services
Baker Hughes Saudi Arabia,بيكر هيوز السعودية,oil_gas,https://www.bakerhughes.com,https://careers.bakerhughes.com/,,https://www.linkedin.com/company/bakerhughes/,Oil services
Weatherford Saudi Arabia,ويذرفورد السعودية,oil_gas,https://www.weatherford.com,https://www.weatherford.com/careers,,https://www.linkedin.com/company/weatherford/,Oil services
ChampionX Saudi Arabia,تشامبيون إكس السعودية,oil_gas,https://www.championx.com,https://www.championx.com/careers,,https://www.linkedin.com/company/championx/,Oil chemistry
# --- Pharma multinationals ------------------------------------------------
Pfizer Saudi Arabia,فايزر السعودية,pharma,https://www.pfizer.com,https://www.pfizer.com/about/careers,,https://www.linkedin.com/company/pfizer/,Pharma multinational
GSK Saudi Arabia,جي إس كيه السعودية,pharma,https://www.gsk.com,https://www.gsk.com/en-gb/careers/search-jobs,,https://www.linkedin.com/company/gsk/,Pharma multinational
Novartis Saudi Arabia,نوفارتس السعودية,pharma,https://www.novartis.com,https://www.novartis.com/careers,,https://www.linkedin.com/company/novartis/,Pharma multinational
Roche Saudi Arabia,روش السعودية,pharma,https://www.roche.com,https://careers.roche.com/global/en,,https://www.linkedin.com/company/roche/,Pharma multinational
Sanofi Saudi Arabia,سانوفي السعودية,pharma,https://www.sanofi.com,https://jobs.sanofi.com/en,,https://www.linkedin.com/company/sanofi/,Pharma multinational
AstraZeneca Saudi Arabia,أسترازينيكا السعودية,pharma,https://www.astrazeneca.com,https://careers.astrazeneca.com/,,https://www.linkedin.com/company/astrazeneca/,Pharma multinational
Bayer Saudi Arabia,باير السعودية,pharma,https://www.bayer.com,,,https://www.linkedin.com/company/bayer/,Pharma multinational
Merck Saudi Arabia,ميرك السعودية,pharma,https://www.merckgroup.com,,,https://www.linkedin.com/company/merckgroup/,Pharma multinational
# --- FMCG multinationals --------------------------------------------------
Unilever Saudi Arabia,يونيليفر السعودية,manufacturing,https://www.unilever.com,,,https://www.linkedin.com/company/unilever/,FMCG
Procter & Gamble Saudi Arabia,بي اند جي السعودية,manufacturing,https://www.pg.com,,,https://www.linkedin.com/company/procter-and-gamble/,FMCG
Nestle Saudi Arabia,نسله السعودية,food_beverage,https://www.nestle.com,,,https://www.linkedin.com/company/nestle-s-a-/,FMCG
Henkel Saudi Arabia,هنكل السعودية,manufacturing,https://www.henkel.com,https://www.henkel.com/careers,,https://www.linkedin.com/company/henkel/,FMCG
L'Oréal Saudi Arabia,لوريال السعودية,manufacturing,https://www.loreal.com,https://www.loreal.com/en/careers,,https://www.linkedin.com/company/loreal/,Cosmetics
Colgate-Palmolive Saudi Arabia,كولجيت السعودية,manufacturing,https://www.colgatepalmolive.com,,,https://www.linkedin.com/company/colgate-palmolive/,FMCG
# --- International banks / financial services -----------------------------
HSBC Saudi Arabia,إتش إس بي سي السعودية,banking,https://www.hsbcsaudi.com,https://www.hsbc.com.sa/en-gb/careers,,https://www.linkedin.com/company/hsbc-saudi-arabia/,Bank
Standard Chartered Saudi Arabia,ستاندرد تشارترد السعودية,banking,https://www.sc.com,https://www.sc.com/en/global-careers,,https://www.linkedin.com/company/standard-chartered-bank/,Bank
JPMorgan Saudi Arabia,جي بي مورغان السعودية,banking,https://www.jpmorgan.com,,,https://www.linkedin.com/company/jpmorganchase/,Investment bank
Goldman Sachs Saudi Arabia,جولدمان ساكس السعودية,banking,https://www.goldmansachs.com,,,https://www.linkedin.com/company/goldman-sachs/,Investment bank
BNP Paribas Saudi Arabia,بي إن بي باريبا السعودية,banking,https://www.bnpparibas.com,,,https://www.linkedin.com/company/bnp-paribas/,Investment bank
Citi Saudi Arabia,سيتي السعودية,banking,https://www.citigroup.com,,,https://www.linkedin.com/company/citi/,Investment bank
Morgan Stanley Saudi Arabia,مورجان ستانلي السعودية,banking,https://www.morganstanley.com,,,https://www.linkedin.com/company/morgan-stanley/,Investment bank
# --- Saudi tech startups (additional) -------------------------------------
Tabby,تابي,fintech,https://tabby.ai,https://tabby.ai/en-AE/careers,,https://www.linkedin.com/company/tabby/,BNPL
Tamara,تمارا,fintech,https://tamara.co,https://tamara.co/en-sa/careers,,https://www.linkedin.com/company/tamara/,BNPL
Foodics,فودكس,tech_software,https://www.foodics.com,https://www.foodics.com/careers,,https://www.linkedin.com/company/foodics/,POS SaaS
Unifonic,يونيفونيك,tech_software,https://www.unifonic.com,https://www.unifonic.com/en/careers,,https://www.linkedin.com/company/unifonic/,CPaaS
Salla,سلة,ecommerce,https://salla.sa,https://jobs.salla.com/,,https://www.linkedin.com/company/sallaapp/,E-commerce SaaS
Zid,زد,ecommerce,https://zid.sa,https://zid.sa/ar/careers,,https://www.linkedin.com/company/zidsa/,E-commerce SaaS
Jahez,جاهز,food_beverage,https://www.jahez.net,,,https://www.linkedin.com/company/jahez/,Food delivery
HungerStation,هنقرستيشن,food_beverage,https://hungerstation.com,,,https://www.linkedin.com/company/hungerstation/,Food delivery
Mrsool,مرسول,food_beverage,https://mrsool.co,https://apply.workable.com/mrsool-3,,https://www.linkedin.com/company/mrsool/,Quick commerce
The Chefz,ذا شفز,food_beverage,https://thechefz.co,,,https://www.linkedin.com/company/the-chefz/,Food delivery
Calo,كالو,food_beverage,https://calo.app,,,https://www.linkedin.com/company/getcalo/,Meal subscription
Lean Technologies,لين تكنولوجيز,fintech,https://www.leantech.me,https://www.leantech.me/uae/en/careers,,https://www.linkedin.com/company/leantech/,Open banking
Geidea,قيدوم,fintech,https://geidea.net,,,https://www.linkedin.com/company/geidea/,Payments
Hala,هلا,fintech,https://hala.com,https://job-boards.greenhouse.io/hala,,https://www.linkedin.com/company/hala/,Digital bank for SMBs
Hyperpay,هايبر باي,fintech,https://www.hyperpay.com,,,https://www.linkedin.com/company/hyperpay/,Payments
Lendo,ليندو,fintech,https://lendo.sa,https://www.lendo.sa/careers,,https://www.linkedin.com/company/lendosa/,P2P lending
Manafa Capital,منافع,fintech,https://www.manafa.com,,,https://www.linkedin.com/company/manafa-capital/,Crowdfunding
Skiply,سكيبلي,fintech,https://skiply.io,,,https://www.linkedin.com/company/skiply/,Fintech
Halawa,حلاوة,fintech,https://halawapay.com,,,,Salary advance
Sary,ساري,ecommerce,https://sary.com,,,https://www.linkedin.com/company/sary/,B2B marketplace
TruKKer Saudi Arabia,تروكر السعودية,logistics,https://trukker.com,https://trukker.com/careers,,https://www.linkedin.com/company/trukker/,Freight tech
Marn,مرن,tech_software,https://marn.com,,,https://www.linkedin.com/company/marnpos/,POS / restaurant SaaS
Nice One,نايس ون,ecommerce,https://niceonesa.com,,,https://www.linkedin.com/company/nice-one/,Beauty e-commerce
Almatar,المطار,hospitality,https://www.almatar.com,https://almatar.com/ar/career,,https://www.linkedin.com/company/almatar/,Travel
Almosafer,المسافر,hospitality,https://www.almosafer.com,https://www.almosafer.com/ar/careers,,https://www.linkedin.com/company/almosafer/,Travel
Wego Saudi Arabia,ويجو السعودية,hospitality,https://www.wego.com,https://careers.wego.com/,,https://www.linkedin.com/company/wego/,Travel
STC Pay,إس تي سي باي,fintech,https://www.stcpay.com.sa,https://stcbank.com.sa/web/guest/job-application,,https://www.linkedin.com/company/stcpay/,Mobile wallet
Mozn,مزن,tech_software,https://mozn.com,,,https://www.linkedin.com/company/mozn/,AI / risk
Rewaa,رواء,tech_software,https://www.rewaatech.com,https://rewaa.com/careers,,https://www.linkedin.com/company/rewaatech/,Inventory SaaS
Resal,ريسال,fintech,https://www.resal.me,https://www.resal.me/careers,,https://www.linkedin.com/company/resal/,Gift cards
Floward Saudi Arabia,فلوارد السعودية,ecommerce,https://floward.com,,,https://www.linkedin.com/company/floward/,Flowers e-commerce
Sahab,سحاب,tech_software,https://sahab.tech,https://sahab.tech/careers,,https://www.linkedin.com/company/sahabtech/,Cloud
Wakeb,واكب,tech_software,https://wakeb.com,https://wakeb.com/careers,,https://www.linkedin.com/company/wakeb-data/,AI
Tahaluf,تحالف,tech_software,https://tahaluf.ai,,,https://www.linkedin.com/company/tahalufai/,AI / data
SiFi,صيفي,fintech,https://www.sifi.sa,,,https://www.linkedin.com/company/sifi-sa/,Corporate cards
Funding Souq,فاندينج سوق,fintech,https://www.fundingsouq.com,,,https://www.linkedin.com/company/funding-souq/,P2P
Penny Saudi Arabia,بيني السعودية,fintech,https://www.pennysoftware.com,https://www.pennysoftware.com/careers,,https://www.linkedin.com/company/pennysoftware/,Expense mgmt
Maramy,مرمي,logistics,https://www.maramy.com,,,,Quick commerce
Sahara Net,صحارى نت,tech_software,https://www.saharanet.com,,,https://www.linkedin.com/company/sahara-net-co/,IT services
Bondai,بوندي,tech_software,https://www.bondai.io,https://www.bondai.io/careers,,,Fintech
Sukoun,سكون,real_estate,https://sukoun.com,,,,Real estate tech
Postpay,بوستباي,fintech,https://www.postpay.io,,,https://www.linkedin.com/company/postpay/,BNPL
Sirdaab,سرداب,logistics,https://sirdaab.sa,,,,Quick commerce
Yamamah AI,اليمامة للذكاء,tech_software,https://yamamah.ai,,,,AI
Spineer,سبينير,tech_software,https://spineer.com,,,,AI / logistics
Salasa,سلاسة,logistics,https://salasa.io,,,https://www.linkedin.com/company/salasa/,Fulfillment
Brilliantly,بريلينتلي,tech_software,https://brilliantly.com,,,,AI / SAV portfolio
Wakeb Data,واكب داتا,tech_software,https://wakeb.com,https://wakeb.com/careers,,,Data services
Tasweeq,تسويق,tech_software,,,,,Marketing tech
NEOM Tech & Digital,نيوم للتقنية والرقمنة,tech_software,https://www.neom.com,https://careers.neom.com/careers,,https://www.linkedin.com/showcase/neom-tech-and-digital-company/,NEOM tech unit
# --- HR services / workforce outsourcing ----------------------------------
Maharah HR Services,مهارة للموارد البشرية,hr_services,https://www.maharah.com,,,https://www.linkedin.com/company/maharah-human-resources/,Manpower and HR services TASI
Saudi Manpower Solutions Company (SMASCO),الشركة السعودية لحلول القوى البشرية,hr_services,https://www.smasco.com/en/,,,,Manpower and workforce outsourcing TASI
Al Mawarid Manpower Company,شركة الموارد للقوى البشرية,hr_services,https://mawarid.com.sa/en/,https://mawarid.com.sa/en/careers/,,,Manpower and workforce outsourcing TASI
FNRCO,الشركة الوطنية الأولى,hr_services,https://fnrco.com.sa,,,,Recruitment and workforce outsourcing
ESAD Human Resources Solutions,إسناد لحلول الموارد البشرية,hr_services,https://esadtalents.com,https://esadtalents.com/en/Home/Jobs,,,HR solutions and workforce services
Tamkeen Human Resources,تمكين للموارد البشرية,hr_services,https://tamkeenhr.sa,https://tamkeenhr.sa/en/careers/,,,Workforce management and outsourcing
Mueen Human Resources,معين للموارد البشرية,hr_services,https://www.mueen.com.sa/en,,,,Managed workforce and RPO
Jaddarah Workforce Services,جدارة لخدمات القوى العاملة,hr_services,https://jaddarahpro.com,,,,Workforce outsourcing
TASC Outsourcing Saudi Arabia,تاسك السعودية,hr_services,https://tascoutsourcing.sa/en,https://tascoutsourcing.sa/en/contact/working-with-us,,,Contract staffing and HR outsourcing
Upsource by solutions,أبسورس من سولوشنز,hr_services,https://upsource.com.sa,https://upsource.com.sa/careers/,,,BPO and customer experience outsourcing
# --- Government digital delivery / outsourcing vendors ---------------------
Ejada Systems,إجادة للنظم,tech_software,https://www.ejada.com,https://careers.ejada.com/en/,,,Government and enterprise IT services
Sure Global Technology,شور العالمية للتقنية,tech_software,https://www.sure.com.sa/en/,,,,Government digital solutions
Tamkeen Technologies,تمكين للتقنيات,tech_software,https://tamkeentech.sa,https://tamkeentech.sa/careers,,,Public sector technology services
Takamol Holding,تكامل القابضة,tech_software,https://www.takamol.sa/en,https://careers.takamol.sa/,,,Labor market digital platforms
Lean Business Services,لين لخدمات الأعمال,tech_software,https://lean.sa,https://lean.sa/career.html,,,PIF digital healthcare services
# --- Government / Ministries / Regulators ---------------------------------
Saudi Central Bank (SAMA),البنك المركزي السعودي,government,https://www.sama.gov.sa,https://www.sama.gov.sa/careers,,https://www.linkedin.com/company/saudi-central-bank/,Central bank
ZATCA (Zakat Tax & Customs Authority),هيئة الزكاة والضريبة والجمارك,government,https://zatca.gov.sa,,,https://www.linkedin.com/company/zatca/,Tax + customs
SDAIA,الهيئة السعودية للبيانات والذكاء الاصطناعي,government,https://sdaia.gov.sa,https://careers.sdaia.gov.sa/,https://careers.sdaia.gov.sa/?locale=ar_SA,https://www.linkedin.com/company/sdaia/,Data + AI authority
National Cybersecurity Authority (NCA),الهيئة الوطنية للأمن السيبراني,cybersecurity,https://nca.gov.sa/en/,,,,National cybersecurity authority
NDMC,المركز الوطني لإدارة البيانات,government,https://ndmo.gov.sa,,,https://www.linkedin.com/company/ndmo/,Data mgmt
CST (Communications Space & Technology Commission),هيئة الاتصالات والفضاء والتقنية,government,https://www.cst.gov.sa,,,https://www.linkedin.com/company/cst-saudi/,ICT regulator formerly CITC
GACA,الهيئة العامة للطيران المدني,government,https://www.gaca.gov.sa,https://careers.gaca.gov.sa/,,https://www.linkedin.com/company/gaca-ksa/,Civil aviation
GAMI,الهيئة العامة للصناعات العسكرية,government,https://gami.gov.sa,,,https://www.linkedin.com/company/gami-sa/,Military industries
Saudi Space Agency,وكالة الفضاء السعودية,government,https://www.ssa.gov.sa,https://ssa.gov.sa/ar/careersLandingPage?path=/careers/,,https://www.linkedin.com/company/saudi-space-agency/,Space
Royal Commission for Jubail and Yanbu,الهيئة الملكية للجبيل وينبع,government,https://www.rcjy.gov.sa,https://careers.rcjy.gov.sa/?tab=section-0,,https://www.linkedin.com/company/royal-commission-for-jubail-and-yanbu/,Royal Commission
Royal Commission for Riyadh City,الهيئة الملكية لمدينة الرياض,government,https://www.rcrc.gov.sa,https://www.rcrc.gov.sa/careers-ar,,https://www.linkedin.com/company/royal-commission-riyadh/,Royal Commission
Royal Commission for AlUla,الهيئة الملكية للعلا,government,https://www.rcu.gov.sa,https://www.rcu.gov.sa/contact/careers,,https://www.linkedin.com/company/the-royal-commission-for-alula/,Royal Commission
Royal Commission for Makkah City and Holy Sites,الهيئة الملكية لمكة المكرمة,government,,,,,
General Entertainment Authority (GEA),الهيئة العامة للترفيه,entertainment,https://gea.gov.sa,,,https://www.linkedin.com/company/general-entertainment-authority/,GEA
Saudi Tourism Authority,الهيئة السعودية للسياحة,hospitality,https://sta.gov.sa,https://sta.gov.sa/en/careers,,https://www.linkedin.com/company/saudi-tourism-authority/,STA
Ministry of Tourism,وزارة السياحة,government,https://mt.gov.sa,,,https://www.linkedin.com/company/ministry-of-tourism-saudi-arabia/,Tourism ministry
Ministry of Health,وزارة الصحة,government,https://www.moh.gov.sa,,,https://www.linkedin.com/company/saudi-ministry-of-health/,MOH
Ministry of Education,وزارة التعليم,government,https://www.moe.gov.sa,https://www.moe.gov.sa/careers,,https://www.linkedin.com/company/ministry-of-education-saudi-arabia/,MOE
Ministry of Finance,وزارة المالية,government,https://www.mof.gov.sa,,,,MOF
Ministry of Investment (MISA),وزارة الاستثمار,government,https://misa.gov.sa,https://jobs.misa.gov.sa/,,https://www.linkedin.com/company/ministry-of-investment-saudi-arabia/,MISA
Ministry of Commerce,وزارة التجارة,government,https://mc.gov.sa,https://talent.mc.gov.sa/,,,MOC
Ministry of Communications & IT (MCIT),وزارة الاتصالات وتقنية المعلومات,government,https://www.mcit.gov.sa,https://mcit.gov.sa/ar/recruitment,,https://www.linkedin.com/company/mcit-sa/,MCIT
Ministry of Foreign Affairs,وزارة الخارجية,government,https://www.mofa.gov.sa,https://jobs.mofa.gov.sa/,,,MOFA
Ministry of Interior,وزارة الداخلية,government,https://www.moi.gov.sa,https://www.moi.gov.sa/careers,,,MOI
Ministry of Human Resources & Social Development (HRSD),وزارة الموارد البشرية والتنمية الاجتماعية,government,https://hrsd.gov.sa,https://www.hrsd.gov.sa/ministry/about-ministry/jobs,,https://www.linkedin.com/company/hrsd-saudi/,HRSD
HRDF (Hadaf),صندوق تنمية الموارد البشرية,government,https://www.hrdf.org.sa,https://www.hrdf.org.sa/about/joinus/jobs,,https://www.linkedin.com/company/hrdf/,Workforce development
Ministry of Industry & Mineral Resources,وزارة الصناعة والثروة المعدنية,government,https://www.mim.gov.sa,https://www.mim.gov.sa/ar/recruitment,,,
Saudi Standards (SASO),الهيئة السعودية للمواصفات والمقاييس,government,https://www.saso.gov.sa,https://www.saso.gov.sa/ar/mediacenter/Pages/JoinOurTeam.aspx,,https://www.linkedin.com/company/saudi-standards-metrology-and-quality-organization/,SASO
General Authority for Statistics (GASTAT),الهيئة العامة للإحصاء,government,https://www.stats.gov.sa,https://careers.stats.gov.sa/,,https://www.linkedin.com/company/general-authority-statistics/,Stats authority
Saudi Industrial Development Fund (SIDF),صندوق التنمية الصناعية السعودي,government,https://www.sidf.gov.sa,https://www.sidf.gov.sa/Careers,,https://www.linkedin.com/company/sidf/,SIDF
Heritage Commission,هيئة التراث,government,https://heritage.moc.gov.sa,,,,Heritage
Saudi Olympic & Paralympic Committee,اللجنة الأولمبية والبارالمبية السعودية,sports,https://saudinoc.com,,,https://www.linkedin.com/company/saudinoc/,Sports
Ministry of Sports,وزارة الرياضة,sports,https://mos.gov.sa,https://www.mos.gov.sa/ar/careers,,,
SAR — Saudi Authority for Data and Statistics,هيئة البيانات والإحصاء,government,,,,,
# --- Cybersecurity / AI / national digital infrastructure ------------------
Saudi Federation for Cybersecurity Programming and Drones,الاتحاد السعودي للأمن السيبراني والبرمجة والدرونز,cybersecurity,https://safcsp.sa/en/,,,,Cybersecurity and technology programs
Saudi Information Technology Company (SITE),الشركة السعودية لتقنية المعلومات,cybersecurity,https://site.sa,https://cloud.site.sa/en/careers,,,Cybersecurity and secure digital services
sirar by stc,سرار من إس تي سي,cybersecurity,https://www.sirar.com.sa,https://www.sirar.com.sa/about-us/careers/,,,Cybersecurity provider
Cyberani,سايبراني,cybersecurity,https://cyberani.sa,https://careers.cyberani.sa/,,,Cybersecurity by Aramco Digital
Saudi Company for Artificial Intelligence (SCAI),الشركة السعودية للذكاء الاصطناعي,tech_software,https://scai.sa/en,https://career.scai.sa/,,,PIF AI company
HUMAIN,هيوماين,tech_software,https://www.humain.ai,,,,National AI company
Aramco Digital,أرامكو الرقمية,tech_software,https://www.aramcodigital.com/index.html,,,,Digital and AI services
CNTXT,كونتكتست,tech_software,https://cntxt.com,https://cntxt.com/careers/,,,Cloud data and digital transformation
# --- Universities (additional) -------------------------------------------
Imam Muhammad Ibn Saud University,جامعة الإمام محمد بن سعود,education,https://www.imamu.edu.sa,,,,University
King Khalid University,جامعة الملك خالد,education,https://www.kku.edu.sa,https://www.kku.edu.sa/ar/jobs,,,University
Umm Al-Qura University,جامعة أم القرى,education,https://uqu.edu.sa,,,,University
Qassim University,جامعة القصيم,education,https://www.qu.edu.sa,https://www.qu.edu.sa/jobs,,,University
Princess Nourah University,جامعة الأميرة نورة,education,https://www.pnu.edu.sa,https://pnu.edu.sa/en/jobs/Pages/default.aspx,,,University
# --- NGOs / non-profit ----------------------------------------------------
Saudi Red Crescent Authority,هيئة الهلال الأحمر السعودي,ngo,https://www.srca.org.sa,,,,Red Crescent
King Khalid Foundation,مؤسسة الملك خالد,ngo,https://www.kkf.org.sa,https://www.kkf.org.sa/career,,https://www.linkedin.com/company/king-khalid-foundation/,Philanthropy
Alwaleed Philanthropies,مؤسسة الوليد للأعمال الإنسانية,ngo,https://alwaleedphilanthropies.org,,,https://www.linkedin.com/company/alwaleedphilanthropies/,Philanthropy
